,"地區
 (北投區/士林區/內湖區/松山區/中山區/大同區/南港區/信義區/大安區/中正區/萬華區/文山區)",,"運動種類
 (重訓/有氧/瑜珈/球類/游泳/戶外運動)",,"設施配備
 (淋浴間/置物櫃/停車場/Wi-Fi)","場館規模
 (大型綜合場所/小型運動場所)", (有/無),(女性專用/無障礙設施/寵物友善/性別友善設施),,,,
肌擊Office,松山區,,,,,,,,,臺北市松山區民生東路5段204之2號1樓,,
長庚生物科技股份有限公司健康中心暨身心靈轉化中心,松山區,,,,,,,,,臺北市松山區民生東路4段54之3號,,
阿基里斯Fitness Bar,松山區,,,,,,,,,臺北市松山區民生東路4段45號B1,,
給力健身房,松山區,,,,,,,,,臺北市松山區民生東路3段128號B1,,
PRANA YOGA,松山區,,,,,,,,,臺北市松山區復興北路369號2樓,,
大聯盟商行,松山區,,,,,,,,,臺北市松山區塔悠路81號3樓,,
九球大師撞球概念館,松山區,,,,,,,,,臺北市松山區八德路3段83號B1,,
臺北醫學大學,信義區,,,,,,,,,臺北市信義區吳興街250號,,
信義運動中心,信義區,,,,,,,,,臺北市信義區松勤街100號,,
博愛國小,信義區,,,,,,,,,臺北市信義區松仁路95巷20號,,
GO GYM健身俱樂部永春館,信義區,,,,,,,,,臺北市信義區忠孝東路5段451號B1,,
台北市中華基督教青年會永吉會館,信義區,,,,,,,,,臺北市信義區永吉路500號,,
健身工廠台北信義廠,信義區,,,,,,,,,臺北市信義區松壽路22號4樓,,
World Gym健身俱樂部101店,信義區,,,,,,,,,臺北市信義區市府路45號6樓之 2,,
Curves北醫世貿店,信義區,,,,,,,,,臺北市信義區莊敬路325巷60號3樓,,
World Gym健身俱樂部松仁店,信義區,,,,,,,,,臺北市信義區松仁路277號1樓及地下1樓,,
體育客,信義區,,,,,,,,,臺北市信義區和平東路3段333號B1,,
TrueYoga 全真概念忠孝瑜珈健身館,信義區,,,,,,,,,臺北市信義區忠孝東路4段563號地下1樓,,
Curves市府永春店,信義區,,,,,,,,,臺北市信義區忠孝東路5段259號3F,,
X-Revolution Fitness 極進化,信義區,,,,,,,,,臺北市信義區基隆路1段153號B1,,
World Gym健身俱樂部松隆店,信義區,,,,,,,,,臺北市信義區松隆路125號2樓、地下1樓及地下2樓,,
KAT Fitness,信義區,,,,,,,,,臺北市信義區永吉路302號地下、地下之1,,
有誼撞球運動館,信義區,,,,,,,,,臺北市信義區忠孝東路5段669號地下1樓,,
國榮桌球信義館,信義區,,,,,,,,,臺北市信義區光復南路432號2樓,,
山豬窟游泳池,南港區,,,,,,,,,臺北市南港區舊莊街1段290巷32號,,
中央研究院綜合體育館游泳池,南港區,,,,,,,,,臺北市南港區研究院路2段128號,,
南港國小,南港區,,,,,,,,,臺北市南港區惠民街67號,,
南港運動中心,南港區,,,,,,,,,臺北市南港區玉成街69號,,
成德國中運動中心,南港區,,,,,,,,,臺北市南港區東新街108巷23號,,
